Name,Image URL,Box Number,Price with Box
W/N MOIST FINISHING LOTION 16.9 OZ,/static/products/DEFAULT/WN10886/075285108864.jpg,EACH,4.89
W/N MOIST FINISHING LOTION 33.8 OZ,/static/products/DEFAULT/WN10860/075285108604.jpg,EACH,6.35
W/N MOIST FINISHING LOTION 8.5 OZ,/static/products/DEFAULT/WN10885/075285108857.jpg,EACH,3.05
W/N MOIST FINISHING MIST 16.9 OZ,/static/products/DEFAULT/WN10875/075285108758.jpg,EACH,5.05
W/N MOIST FINISHING MIST 8.5 OZ,/static/products/DEFAULT/WN10887/075285108871.jpg,EACH,3.05
W/N SHAPE LOCK 16.9 OZ (STEP 3),/static/products/DEFAULT/WN10884/075285108840.jpg,EACH,4.89
W/N SHAPE RELEASE REGULAR 14.1 OZ,/static/products/DEFAULT/WN10880/075285108802.jpg,EACH,8.35
W/N SHAPE RELEASE REGULAR 30 OZ (STEP 1),/static/products/DEFAULT/WN10855/075285108550.jpg,EACH,13.35
W/N SHAPE RELEASE SUPER 14.1 OZ,/static/products/DEFAULT/WN10881/075285108819.jpg,EACH,8.35
W/N SHAPE TRANSFORMER 15.5 OZ (STEP 2),/static/products/DEFAULT/WN00742/075285007426.jpg,EACH,5.99
Name,Image URL,Box Number,Price with Box
55H GLYCERINE CRISTALINE 16.8 OZ,/static/products/DEFAULT/55H02643/098864002643.jpg,EACH,22.8
55H LOTION EFFICACITE EXTREME 16.8 OZ PINK,/static/products/DEFAULT/55H00503/098864005033.jpg,EACH,22.8
55H LOTION HARMONIE 16.8 OZ ORANGE,/static/products/DEFAULT/55H00502/098864005026.jpg,EACH,22.8
55H LOTION PERFORMANCE 16.8 OZ GREEN,/static/products/DEFAULT/55H00504/098864005zzz.jpg,EACH,18.55
55H SOAP EXTREME EXFOLIATING 7 OZ/200g,/static/products/DEFAULT/55H00101/098864001011.jpg,EACH,7.8
55H SOAP HARMONIE REPARATEUR 7 OZ/200g,/static/products/DEFAULT/55H00105/098864005040.jpg,EACH,7.8
55H SOAP MULTI ACTION 7 OZ/200 GR,/static/products/DEFAULT/55H00508/098864005088.jpg,EACH,7.8
Name,Image URL,Box Number,Price with Box
ACCLAIM KIT EXTRA BODY,/static/products/DEFAULT/ACC966231/074469407182.jpg,EACH,3.7
ACCLAIM KIT PLUS EXTRA BODY,/static/products/DEFAULT/ACC966251/074469407212.jpg,EACH,3.7
ACCLAIM KIT PLUS HIGH-LIFT,/static/products/DEFAULT/ACC966261/074469407236.jpg,EACH,3.7
ACCLAIM KIT PLUS REGULAR,/static/products/DEFAULT/ACC966241/074469407199.jpg,EACH,3.7
ACCLAIM KIT REGULAR,/static/products/DEFAULT/ACC966221/074469407175.jpg,EACH,3.7
Name,Image URL,Box Number,Price with Box
ADORE CREAM HAIR COLOR BLACK VELVET,/static/products/DEFAULT/ADO767/8809627790071.jpg,EACH,4.09
ADORE CREAM HAIR COLOR DARK BROWN,/static/products/DEFAULT/ADO747/8809627790064.jpg,EACH,4.09
ADORE CREAM HAIR COLOR DARK CHESTNUT,/static/products/DEFAULT/ADO727/8809627790040.jpg,EACH,4.09
ADORE CREAM HAIR COLOR JET BLACK,/static/products/DEFAULT/ADO777/8809627790088.jpg,EACH,4.09
ADORE CREAM HAIR COLOR MEDIUM BROWN,/static/products/DEFAULT/ADO737/8809627790057.jpg,EACH,4.09
ADORE CREAM HAIR COLOR MEDIUM CHESTNUT,/static/products/DEFAULT/ADO707/8809627790033.jpg,EACH,4.09
Name,Image URL,Box Number,Price with Box
ADORE PLUS #336 COPPER RED 3.4 OZ,/static/products/DEFAULT/ADP336/661157903363.jpg,EACH,2.5
ADORE PLUS #342 BURGUNDY RED 3.4 OZ,/static/products/DEFAULT/ADP342/661157903424.jpg,EACH,2.5
ADORE PLUS #344 PLUM BROWN 3.4 OZ,/static/products/DEFAULT/ADP344/661157903448.jpg,EACH,2.5
ADORE PLUS #348 DARK PLUM BROWN 3.4 OZ,/static/products/DEFAULT/ADP348/661157903486.jpg,EACH,2.5
ADORE PLUS #354 CINNAMON BROWN 3.4 OZ,/static/products/DEFAULT/ADP354/661157903547.jpg,EACH,2.5
ADORE PLUS #360 LIGHT GOLD BROWN 3.4 OZ,/static/products/DEFAULT/ADP360/661157903608.jpg,EACH,2.5
ADORE PLUS #364 LIGHT RED BROWN 3.4 OZ,/static/products/DEFAULT/ADP364/661157903646.jpg,EACH,2.5
ADORE PLUS #372 MEDIUM RED BROWN 3.4 OZ,/static/products/DEFAULT/ADP372/661157903721.jpg,EACH,2.5
ADORE PLUS #374 DARK RED BROWN 3.4 OZ,/static/products/DEFAULT/ADP374/661157903745.jpg,EACH,2.5
ADORE PLUS #376 MEDIUM BROWN 3.4 OZ,/static/products/DEFAULT/ADP376/661157903769.jpg,EACH,2.5
ADORE PLUS #378 MOCHA BROWN 3.4 OZ,/static/products/DEFAULT/ADP378/661157903783.jpg,EACH,2.5
ADORE PLUS #380 CHOCOLATE BROWN 3.4 OZ,/static/products/DEFAULT/ADP380/661157903806.jpg,EACH,2.5
ADORE PLUS #388 DARK BROWN 3.4 OZ,/static/products/DEFAULT/ADP388/661157903882.jpg,EACH,2.5
ADORE PLUS #390 BROWN BLACK 3.4 OZ,/static/products/DEFAULT/ADP390/661157903905.jpg,EACH,2.5
ADORE PLUS #394 VELVET BLACK 3.4 OZ,/static/products/DEFAULT/ADP394/661157903943.jpg,EACH,2.5
ADORE PLUS #398 JET BLACK 3.4 OZ,/static/products/DEFAULT/ADP398/661157903981.jpg,EACH,2.5
